,round,group,player_slot,cost,break_even_bid_no_rym,percentile_no_rym,correction_factor,break_even_bid_rym,percentile_rym,max_bid_no_rym,max_bid_rym,ws,other_costs,cost_A,cost_B,production,id_sample
0,1,1,1,45.6961441,45.6961441,45.33016061867936,1.1145401,41.0,6.0678167757287325,90.3,70,5.9,0.82,55.727005,-10.0308609,2203.80697148829,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
1,1,1,2,51.8856084,51.8856084,66.92444973230221,0.9608445999999999,54.00000000000001,68.94705532421177,90.3,70,6.7,1.08,48.042229999999996,3.843378400000006,2760.2544196832227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
2,1,1,3,45.5914592,45.5914592,44.79476502082094,0.8141332,56.0,77.33491969066033,90.3,70,8.1,1.12,40.70666,4.884799200000003,3600.84695020913,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
3,1,1,4,72.59109640153225,72.59109640153225,96.0142772159429,1.29,56.27216775312578,79.2385484830458,90.3,70,5.0,1.02,71.16774157012966,1.423354831402591,1548.0076471579075,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
4,1,2,1,54.28771989999999,54.28771989999999,72.75431290898275,0.9608445999999999,56.49999999999999,80.1308744794765,90.3,70,6.7,1.13,48.042229999999996,6.2454898999999955,2760.2544196832227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
5,1,2,2,49.20614239999999,49.20614239999999,59.250446162998216,1.0469392,46.99999999999999,33.908387864366446,90.3,70,6.2,0.94,52.346959999999996,-3.1408176000000054,2417.4057379964315,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
6,1,2,3,57.180603899999994,57.180603899999994,78.82212968471148,1.1669511,49.0,44.31885782272457,90.3,70,5.7,0.98,58.34755499999999,-1.1669510999999986,2059.071224897595,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
7,1,2,4,58.36984215,58.36984215,80.90422367638311,1.2035019,48.5,41.760856632956575,90.3,70,5.6,0.97,60.175095,-1.8052528500000022,1986.2186485554405,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
8,1,3,1,38.10639,38.10639,15.407495538370018,0.907295,42.0,10.618679357525282,90.3,70,7.1,0.84,45.36475,-7.258360000000003,3019.760489755876,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
9,1,3,2,39.063582,39.063582,18.917311124330755,0.8223912,47.5,37.03152885187389,90.3,70,8.0,0.95,41.11956,-2.055978000000003,3547.3526180837684,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
10,1,3,3,45.6355972,45.6355972,44.91374182034503,0.9920782,46.0,29.238548483045808,90.3,70,6.5,0.92,49.60391,-3.9683127999999996,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
11,1,3,4,41.5499238,41.5499238,27.840571088637716,0.8393924,49.5,46.6686496133254,90.3,70,7.8,0.99,41.96962,-0.4196961999999971,3437.2208174516622,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
12,1,4,1,58.35754808750632,58.35754808750632,80.84473527662107,1.29,45.23840937015994,25.758477096966093,90.3,70,5.0,0.82,71.16774157012966,-12.81019348262334,1548.0076471579075,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
13,1,4,2,61.3785969,61.3785969,85.60380725758478,1.2035019,51.0,53.599048185603806,90.3,70,5.6,1.02,60.175095,1.2035018999999991,1986.2186485554405,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
14,1,4,3,37.70167299999999,37.70167299999999,14.098750743604997,0.919553,40.99999999999999,5.145746579417014,90.3,70,7.0,0.82,45.97765,-8.275977000000005,2956.235927864234,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
15,1,4,4,36.5135694,36.5135694,10.469958358120167,0.8393924,43.5,17.48958953004164,90.3,70,7.8,0.87,41.96962,-5.4560505999999975,3437.2208174516622,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
16,2,1,1,52.0841055,52.0841055,67.45984533016062,0.9920782,52.5,60.7674003569304,90.3,70,6.5,1.05,49.60391,2.4801955000000007,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
17,2,1,2,50.96927125,50.96927125,64.42593694229625,1.0092925,50.5,51.279000594883996,90.3,70,6.4,1.01,50.464625,0.5046462500000004,2556.7585973306004,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
18,2,1,3,47.2100772,47.2100772,51.87388459250446,0.8001708000000001,58.99999999999999,91.99881023200476,90.3,70,8.4,1.18,40.00854,7.201537199999997,3754.965449409183,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
19,2,1,4,66.34852255,66.34852255,91.37418203450328,1.2401593,53.5,65.55621653777513,90.3,70,5.5,1.07,62.007965,4.34055755,1913.1530304421865,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
20,2,2,1,41.6349639,41.6349639,28.55443188578227,1.0280238,40.50000000000001,4.104699583581201,90.3,70,6.3,0.81,51.40119,-9.766226099999997,2487.4220738687186,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
21,2,2,2,44.198568300000005,44.198568300000005,38.786436644854255,0.7963706,55.50000000000001,75.93694229625223,90.3,70,8.5,1.11,39.81853,4.3800383000000025,3804.1989632496698,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
22,2,2,3,43.7184293,43.7184293,36.882807852468765,0.9608445999999999,45.5,26.76977989292088,90.3,70,6.7,0.91,48.042229999999996,-4.3238007,2760.2544196832227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
23,2,2,4,39.9969504,39.9969504,22.070196311719215,0.8080192,49.5,46.6686496133254,90.3,70,8.2,0.99,40.400960000000005,-0.40400960000000197,3653.284405406161,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
