,round,group,player_slot,ws,other_costs,cost_A,cost_B,production,lcoe,correction_factor,minimum_bid_rym,id_scenario
0,1,1,1,6.3,1.14,51.40119,7.196166599999998,2487.4220738687186,58.5973566,1.0280238,57.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
1,1,1,2,7.4,1.16,43.764900000000004,7.002383999999999,3204.6274315761634,50.767284000000004,0.875298,58.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
2,1,1,3,5.3,0.84,65.6805164659142,-10.508882634546275,1766.7501763451485,55.17163383136792,1.29,42.76870839640924,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
3,1,1,4,5.4,0.98,63.84389,-1.2768778000000012,1839.9646853205938,62.5670122,1.2768778,49.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
4,1,2,1,8.5,1.02,39.81853,0.796370600000003,3804.1989632496698,40.614900600000006,0.7963706,51.00000000000001,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
5,1,2,2,6.9,1.13,46.599399999999996,6.057921999999998,2891.793697192464,52.65732199999999,0.9319879999999999,56.5,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
6,1,2,3,9.0,0.81,38.9311159427737,-7.396912029127002,4034.143044805663,31.5342039136467,0.79,39.91671381474266,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
7,1,2,4,5.1,0.85,69.3452381590247,-10.401785723853706,1620.6598526034632,58.943452435171,1.29,45.69259878695426,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
8,1,3,1,8.8,0.85,39.2735133895224,-5.89102700842836,3945.422474128707,33.38248638109404,0.79,42.25631187480258,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
9,1,3,2,8.1,0.83,40.70666,-6.920132200000005,3600.84695020913,33.786527799999995,0.8141332,41.49999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
10,1,3,3,5.5,1.2,62.007965,12.401592999999991,1913.1530304421865,74.40955799999999,1.2401593,59.99999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
11,1,3,4,7.1,0.85,45.36475,-6.804712500000001,3019.760489755876,38.5600375,0.907295,42.5,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
12,1,4,1,7.3,1.19,44.23306,8.404281399999995,3143.974070805334,52.6373414,0.8846612,59.49999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
13,1,4,2,6.5,1.07,49.60391,3.4722737000000023,2625.3696471309936,53.0761837,0.9920782,53.5,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
14,1,4,3,8.8,0.98,39.2735133895224,-0.7854702677904513,3945.422474128707,38.48804312173195,0.79,48.71904192624297,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
15,1,4,4,7.2,0.95,44.760925,-2.2380462500000036,3082.3461630779525,42.52287875,0.8952185,47.49999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
16,2,1,1,7.9,1.11,41.54056,4.569461600000004,3492.8080850201604,46.1100216,0.8308112,55.50000000000001,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
17,2,1,2,6.3,0.95,51.40119,-2.5700594999999993,2487.4220738687186,48.8311305,1.0280238,47.50000000000001,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
18,2,1,3,7.7,0.8,42.40664,-8.481327999999998,3380.599171369953,33.925312000000005,0.8481328,40.00000000000001,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
19,2,1,4,6.8,1.18,47.275729999999996,8.509631399999996,2826.4576240077954,55.78536139999999,0.9455146,58.99999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
20,2,2,1,7.7,1.18,42.40664,7.633195199999996,3380.599171369953,50.0398352,0.8481328,59.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
21,2,2,2,7.5,0.83,43.304379999999995,-7.3617446000000015,3264.2913304677227,35.94263539999999,0.8660876,41.49999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
22,2,2,3,7.4,1.13,43.764900000000004,5.689436999999998,3204.6274315761634,49.454337,0.875298,56.5,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
23,2,2,4,7.3,0.93,44.23306,-3.096314199999995,3143.974070805334,41.13674580000001,0.8846612,46.50000000000001,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
24,2,3,1,5.2,0.9,67.51520365647069,-6.7515203656470675,1693.6122771870748,60.76368329082362,1.29,47.103630458002804,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
25,2,3,2,6.7,1.15,48.042229999999996,7.206334499999997,2760.2544196832227,55.24856449999999,0.9608445999999999,57.5,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
26,2,3,3,7.5,1.11,43.304379999999995,4.763481800000001,3264.2913304677227,48.067861799999996,0.8660876,55.5,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
27,2,3,4,7.2,0.98,44.760925,-0.8952184999999986,3082.3461630779525,43.8657065,0.8952185,49.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
28,2,4,1,7.5,0.84,43.304379999999995,-6.928700800000001,3264.2913304677227,36.37567919999999,0.8660876,41.99999999999999,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
29,2,4,2,5.5,0.98,62.007965,-1.240159300000002,1913.1530304421865,60.7678057,1.2401593,49.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
30,2,4,3,7.2,1.08,44.760925,3.5808740000000014,3082.3461630779525,48.341799,0.8952185,54.0,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
31,2,4,4,8.1,0.93,40.70666,-2.849466199999995,3600.84695020913,37.857193800000005,0.8141332,46.50000000000001,scenario_1_seed:16180339_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
